household_id,population,waste_gen_kg_per_day,recycling_rate,collection_route,route_length_km,route_time_hr,fuel_cost_per_km,labor_cost_per_hour,maintenance_cost_per_km
129,3,4.15,0.12,24,24.44,3.58,0.8,15,0.1
130,1,4.74,0.61,16,20.89,2.37,0.8,15,0.1
131,3,0.85,0.1,33,15.64,1.85,0.8,15,0.1
132,3,3.93,0.05,12,7.71,2.56,0.8,15,0.1
133,1,3.18,0.23,34,5.94,3.01,0.8,15,0.1
134,3,4.64,0.32,7,14.73,2.51,0.8,15,0.1
135,5,3.2,0.28,11,23.95,2.11,0.8,15,0.1
136,2,5.06,0.57,31,13.68,3.46,0.8,15,0.1
137,7,2.69,0.32,29,14.47,2.84,0.8,15,0.1
138,2,0.82,0.1,13,7.25,3.8,0.8,15,0.1
139,1,4.76,0.36,31,13.68,3.46,0.8,15,0.1
140,4,2.49,0.06,2,13.19,3.34,0.8,15,0.1
141,7,1.6,0.15,39,16.05,1.15,0.8,15,0.1
142,1,3.52,0.14,15,13.13,2.15,0.8,15,0.1
143,4,3.21,0.24,11,23.95,2.11,0.8,15,0.1
144,2,4.49,0.24,34,5.94,3.01,0.8,15,0.1
145,1,4.57,0.26,39,16.05,1.15,0.8,15,0.1
146,7,3.61,0.23,4,23.44,2.78,0.8,15,0.1
147,7,2.44,0.21,11,23.95,2.11,0.8,15,0.1
148,6,3.84,0.34,29,14.47,2.84,0.8,15,0.1
149,5,3.7,0.3,2,13.19,3.34,0.8,15,0.1
150,3,4.18,0.54,16,20.89,2.37,0.8,15,0.1
151,4,2.45,0.5,39,16.05,1.15,0.8,15,0.1
152,6,3.02,0.06,13,7.25,3.8,0.8,15,0.1
153,3,4.11,0.24,37,23.29,1.8,0.8,15,0.1
154,3,5.0,0.23,17,8.42,1.8,0.8,15,0.1
155,1,4.66,0.28,21,23.25,3.84,0.8,15,0.1
156,3,3.6,0.12,19,17.23,2.7,0.8,15,0.1
157,5,2.92,0.19,7,14.73,2.51,0.8,15,0.1
158,7,3.98,0.35,38,23.08,1.96,0.8,15,0.1
159,6,2.19,0.36,8,8.53,3.44,0.8,15,0.1
160,3,2.52,0.16,13,7.25,3.8,0.8,15,0.1
161,1,5.31,0.16,37,23.29,1.8,0.8,15,0.1
162,5,3.98,0.36,2,13.19,3.34,0.8,15,0.1
163,2,3.08,0.56,11,23.95,2.11,0.8,15,0.1
164,7,4.49,0.36,24,24.44,3.58,0.8,15,0.1
165,7,5.04,0.17,6,17.1,2.68,0.8,15,0.1
166,6,2.97,0.36,26,13.47,1.03,0.8,15,0.1
167,7,2.99,0.36,7,14.73,2.51,0.8,15,0.1
168,3,2.84,0.2,39,16.05,1.15,0.8,15,0.1
169,1,4.66,0.41,19,17.23,2.7,0.8,15,0.1
170,7,4.67,0.49,6,17.1,2.68,0.8,15,0.1
171,7,5.16,0.23,29,14.47,2.84,0.8,15,0.1
172,2,4.71,0.48,39,16.05,1.15,0.8,15,0.1
173,2,1.54,0.69,2,13.19,3.34,0.8,15,0.1
174,4,3.84,0.43,19,17.23,2.7,0.8,15,0.1
175,5,2.23,0.05,4,23.44,2.78,0.8,15,0.1
176,3,2.88,0.25,6,17.1,2.68,0.8,15,0.1
177,7,3.7,0.46,37,23.29,1.8,0.8,15,0.1
178,7,4.5,0.37,28,15.88,2.02,0.8,15,0.1
179,1,2.43,0.25,30,22.38,2.99,0.8,15,0.1
180,4,0.71,0.22,7,14.73,2.51,0.8,15,0.1
181,5,3.72,0.19,9,15.84,1.39,0.8,15,0.1
182,4,6.67,0.47,25,7.2,3.84,0.8,15,0.1
183,6,3.26,0.12,33,15.64,1.85,0.8,15,0.1
184,5,3.56,0.01,1,15.03,1.7,0.8,15,0.1
185,7,5.64,0.14,6,17.1,2.68,0.8,15,0.1
186,7,4.21,0.28,18,15.18,1.44,0.8,15,0.1
187,5,3.76,0.52,10,20.32,3.8,0.8,15,0.1
188,7,4.03,0.21,28,15.88,2.02,0.8,15,0.1
189,3,3.8,0.11,11,23.95,2.11,0.8,15,0.1
190,5,2.13,0.07,33,15.64,1.85,0.8,15,0.1
191,4,1.89,0.41,1,15.03,1.7,0.8,15,0.1
192,5,5.76,0.13,13,7.25,3.8,0.8,15,0.1
193,7,3.72,0.21,37,23.29,1.8,0.8,15,0.1
194,3,3.62,0.34,20,19.29,3.81,0.8,15,0.1
195,3,3.39,0.15,1,15.03,1.7,0.8,15,0.1
196,6,4.44,0.64,3,20.42,1.68,0.8,15,0.1
197,4,6.55,0.43,18,15.18,1.44,0.8,15,0.1
198,2,4.13,0.2,14,8.67,1.76,0.8,15,0.1
199,2,2.79,0.49,31,13.68,3.46,0.8,15,0.1
200,5,3.34,0.24,27,13.85,1.14,0.8,15,0.1
201,6,4.79,0.05,17,8.42,1.8,0.8,15,0.1
202,1,2.8,0.22,29,14.47,2.84,0.8,15,0.1
203,5,4.52,0.21,36,21.25,3.56,0.8,15,0.1
204,6,0.72,0.31,37,23.29,1.8,0.8,15,0.1
205,4,3.22,0.39,26,13.47,1.03,0.8,15,0.1
206,4,4.25,0.24,17,8.42,1.8,0.8,15,0.1
207,4,5.02,0.18,22,9.89,1.39,0.8,15,0.1
208,4,2.52,0.36,25,7.2,3.84,0.8,15,0.1
209,4,1.7,0.06,2,13.19,3.34,0.8,15,0.1
210,6,3.19,0.44,22,9.89,1.39,0.8,15,0.1
211,6,2.15,0.43,5,12.6,2.51,0.8,15,0.1
212,3,3.32,0.3,4,23.44,2.78,0.8,15,0.1
213,2,3.49,0.13,36,21.25,3.56,0.8,15,0.1
214,7,1.92,0.2,6,17.1,2.68,0.8,15,0.1
215,4,4.47,0.48,21,23.25,3.84,0.8,15,0.1
216,1,3.31,0.06,13,7.25,3.8,0.8,15,0.1
217,7,4.8,0.31,37,23.29,1.8,0.8,15,0.1
218,6,1.29,0.1,25,7.2,3.84,0.8,15,0.1
219,1,2.28,0.33,26,13.47,1.03,0.8,15,0.1
220,1,4.12,0.25,39,16.05,1.15,0.8,15,0.1
221,1,2.54,0.41,20,19.29,3.81,0.8,15,0.1
222,3,3.3,0.65,33,15.64,1.85,0.8,15,0.1
223,6,3.5,0.28,14,8.67,1.76,0.8,15,0.1
224,1,3.69,0.18,36,21.25,3.56,0.8,15,0.1
225,4,2.69,0.11,17,8.42,1.8,0.8,15,0.1
226,5,3.68,0.33,21,23.25,3.84,0.8,15,0.1
227,1,2.56,0.43,16,20.89,2.37,0.8,15,0.1
228,3,4.31,0.53,16,20.89,2.37,0.8,15,0.1
229,7,3.36,0.39,20,19.29,3.81,0.8,15,0.1
230,6,3.69,0.05,29,14.47,2.84,0.8,15,0.1
231,3,6.58,0.24,28,15.88,2.02,0.8,15,0.1
232,1,2.17,0.36,8,8.53,3.44,0.8,15,0.1
233,6,5.17,0.2,24,24.44,3.58,0.8,15,0.1
234,5,0.5,0.3,3,20.42,1.68,0.8,15,0.1
235,1,1.01,0.7,25,7.2,3.84,0.8,15,0.1
236,3,2.01,0.49,19,17.23,2.7,0.8,15,0.1
237,2,2.09,0.34,33,15.64,1.85,0.8,15,0.1
238,4,3.74,0.05,2,13.19,3.34,0.8,15,0.1
239,7,3.85,0.37,15,13.13,2.15,0.8,15,0.1
240,3,3.19,0.33,22,9.89,1.39,0.8,15,0.1
241,6,3.32,0.33,10,20.32,3.8,0.8,15,0.1
242,1,4.13,0.15,18,15.18,1.44,0.8,15,0.1
243,4,4.5,0.33,22,9.89,1.39,0.8,15,0.1
244,1,1.91,0.02,27,13.85,1.14,0.8,15,0.1
245,6,3.07,0.1,13,7.25,3.8,0.8,15,0.1
246,1,3.42,0.22,33,15.64,1.85,0.8,15,0.1
247,2,4.08,0.19,5,12.6,2.51,0.8,15,0.1
248,4,2.57,0.53,26,13.47,1.03,0.8,15,0.1
249,4,3.39,0.19,13,7.25,3.8,0.8,15,0.1
250,6,3.54,0.18,27,13.85,1.14,0.8,15,0.1
251,7,2.65,0.13,14,8.67,1.76,0.8,15,0.1
252,2,2.63,0.34,24,24.44,3.58,0.8,15,0.1
253,3,3.62,0.65,3,20.42,1.68,0.8,15,0.1
254,1,3.34,0.18,30,22.38,2.99,0.8,15,0.1
255,5,4.1,0.61,35,22.26,1.49,0.8,15,0.1
256,1,2.24,0.36,14,8.67,1.76,0.8,15,0.1
257,1,3.08,0.09,12,7.71,2.56,0.8,15,0.1
258,3,3.22,0.27,28,15.88,2.02,0.8,15,0.1
259,1,4.48,0.09,29,14.47,2.84,0.8,15,0.1
260,2,2.37,0.56,17,8.42,1.8,0.8,15,0.1
261,2,3.78,0.24,40,5.88,3.16,0.8,15,0.1
262,4,3.8,0.06,21,23.25,3.84,0.8,15,0.1
263,6,5.48,0.24,23,11.05,3.69,0.8,15,0.1
264,7,2.29,0.24,20,19.29,3.81,0.8,15,0.1
265,5,2.71,0.36,11,23.95,2.11,0.8,15,0.1
266,1,2.38,0.34,34,5.94,3.01,0.8,15,0.1
267,1,1.5,0.56,10,20.32,3.8,0.8,15,0.1
268,3,5.62,0.21,10,20.32,3.8,0.8,15,0.1
269,6,2.01,0.08,6,17.1,2.68,0.8,15,0.1
270,2,2.52,0.39,36,21.25,3.56,0.8,15,0.1
271,5,5.08,0.18,24,24.44,3.58,0.8,15,0.1
272,4,1.4,0.15,12,7.71,2.56,0.8,15,0.1
273,2,4.41,0.08,23,11.05,3.69,0.8,15,0.1
274,6,1.8,0.27,27,13.85,1.14,0.8,15,0.1
275,7,5.0,0.51,37,23.29,1.8,0.8,15,0.1
276,4,0.9,0.27,6,17.1,2.68,0.8,15,0.1
277,7,1.4,0.23,1,15.03,1.7,0.8,15,0.1
278,3,2.85,0.55,6,17.1,2.68,0.8,15,0.1
279,3,4.67,0.28,22,9.89,1.39,0.8,15,0.1
280,1,3.46,0.08,24,24.44,3.58,0.8,15,0.1
281,7,3.1,0.17,25,7.2,3.84,0.8,15,0.1
282,6,5.12,0.22,15,13.13,2.15,0.8,15,0.1
283,5,6.09,0.42,26,13.47,1.03,0.8,15,0.1
284,4,4.31,0.66,8,8.53,3.44,0.8,15,0.1
285,2,2.75,0.18,24,24.44,3.58,0.8,15,0.1
286,6,3.0,0.39,38,23.08,1.96,0.8,15,0.1
287,6,1.95,0.17,6,17.1,2.68,0.8,15,0.1
288,3,3.62,0.34,35,22.26,1.49,0.8,15,0.1
289,7,1.54,0.2,1,15.03,1.7,0.8,15,0.1
290,1,4.16,0.47,36,21.25,3.56,0.8,15,0.1
291,1,5.91,0.15,12,7.71,2.56,0.8,15,0.1
292,4,4.36,0.48,38,23.08,1.96,0.8,15,0.1
293,3,2.94,0.48,11,23.95,2.11,0.8,15,0.1
294,6,4.13,0.2,12,7.71,2.56,0.8,15,0.1
295,5,5.44,0.71,39,16.05,1.15,0.8,15,0.1
296,3,5.38,0.25,7,14.73,2.51,0.8,15,0.1
297,4,2.3,0.12,11,23.95,2.11,0.8,15,0.1
298,4,4.11,0.1,36,21.25,3.56,0.8,15,0.1
299,3,3.31,0.16,31,13.68,3.46,0.8,15,0.1
300,4,4.47,0.19,33,15.64,1.85,0.8,15,0.1
301,3,3.96,0.46,13,7.25,3.8,0.8,15,0.1
302,2,0.66,0.3,18,15.18,1.44,0.8,15,0.1
303,3,3.08,0.24,24,24.44,3.58,0.8,15,0.1
304,7,3.74,0.77,9,15.84,1.39,0.8,15,0.1
305,3,1.78,0.41,31,13.68,3.46,0.8,15,0.1
306,4,4.2,0.18,10,20.32,3.8,0.8,15,0.1
307,7,1.67,0.29,2,13.19,3.34,0.8,15,0.1
308,4,2.54,0.32,38,23.08,1.96,0.8,15,0.1
309,1,5.11,0.01,15,13.13,2.15,0.8,15,0.1
310,1,2.44,0.33,3,20.42,1.68,0.8,15,0.1
311,7,4.19,0.08,31,13.68,3.46,0.8,15,0.1
312,2,1.4,0.44,6,17.1,2.68,0.8,15,0.1
313,1,6.0,0.04,3,20.42,1.68,0.8,15,0.1
314,3,3.13,0.35,11,23.95,2.11,0.8,15,0.1
315,4,3.61,0.3,15,13.13,2.15,0.8,15,0.1
316,1,3.71,0.16,28,15.88,2.02,0.8,15,0.1
317,1,4.23,0.35,10,20.32,3.8,0.8,15,0.1
318,2,1.68,0.14,38,23.08,1.96,0.8,15,0.1
319,7,3.49,0.16,7,14.73,2.51,0.8,15,0.1
320,7,2.71,0.29,15,13.13,2.15,0.8,15,0.1
321,6,1.47,0.36,18,15.18,1.44,0.8,15,0.1
322,2,4.68,0.11,18,15.18,1.44,0.8,15,0.1
323,3,3.08,0.19,24,24.44,3.58,0.8,15,0.1
324,7,3.79,0.43,2,13.19,3.34,0.8,15,0.1
325,4,3.72,0.11,40,5.88,3.16,0.8,15,0.1
326,2,3.1,0.13,20,19.29,3.81,0.8,15,0.1
327,1,5.87,0.3,34,5.94,3.01,0.8,15,0.1
328,4,3.44,0.35,26,13.47,1.03,0.8,15,0.1
329,4,1.63,0.38,7,14.73,2.51,0.8,15,0.1
330,1,3.02,0.26,38,23.08,1.96,0.8,15,0.1
331,2,4.1,0.41,30,22.38,2.99,0.8,15,0.1
332,1,4.14,0.35,5,12.6,2.51,0.8,15,0.1
333,6,2.19,0.37,11,23.95,2.11,0.8,15,0.1
334,4,4.62,0.28,1,15.03,1.7,0.8,15,0.1
335,5,1.38,0.19,34,5.94,3.01,0.8,15,0.1
336,5,4.87,0.06,1,15.03,1.7,0.8,15,0.1
337,3,1.92,0.3,19,17.23,2.7,0.8,15,0.1
338,7,3.23,0.08,2,13.19,3.34,0.8,15,0.1
339,1,4.78,0.18,21,23.25,3.84,0.8,15,0.1
340,1,3.64,0.06,20,19.29,3.81,0.8,15,0.1
341,3,4.48,0.4,23,11.05,3.69,0.8,15,0.1
342,3,4.24,0.15,21,23.25,3.84,0.8,15,0.1
343,3,5.04,0.54,24,24.44,3.58,0.8,15,0.1
344,4,4.77,0.3,4,23.44,2.78,0.8,15,0.1
345,6,2.96,0.52,12,7.71,2.56,0.8,15,0.1
346,1,4.26,0.08,22,9.89,1.39,0.8,15,0.1
347,4,1.67,0.4,20,19.29,3.81,0.8,15,0.1
348,3,3.43,0.25,18,15.18,1.44,0.8,15,0.1
349,1,4.48,0.35,1,15.03,1.7,0.8,15,0.1
350,4,3.66,0.15,30,22.38,2.99,0.8,15,0.1
351,6,4.04,0.27,33,15.64,1.85,0.8,15,0.1
352,4,3.24,0.37,24,24.44,3.58,0.8,15,0.1
353,6,4.85,0.32,14,8.67,1.76,0.8,15,0.1
354,3,3.4,0.37,36,21.25,3.56,0.8,15,0.1
355,6,2.94,0.32,5,12.6,2.51,0.8,15,0.1
356,1,4.56,0.45,11,23.95,2.11,0.8,15,0.1
357,3,1.81,0.11,24,24.44,3.58,0.8,15,0.1
358,1,4.1,0.23,31,13.68,3.46,0.8,15,0.1
359,5,2.25,0.04,13,7.25,3.8,0.8,15,0.1
360,2,5.03,0.05,16,20.89,2.37,0.8,15,0.1
361,6,3.19,0.04,24,24.44,3.58,0.8,15,0.1
362,2,3.66,0.16,13,7.25,3.8,0.8,15,0.1
363,2,4.0,0.24,24,24.44,3.58,0.8,15,0.1
364,6,1.18,0.22,26,13.47,1.03,0.8,15,0.1
365,3,2.72,0.3,2,13.19,3.34,0.8,15,0.1
366,5,4.75,0.28,16,20.89,2.37,0.8,15,0.1
367,1,4.54,0.29,38,23.08,1.96,0.8,15,0.1
368,4,3.84,0.18,1,15.03,1.7,0.8,15,0.1
369,1,1.88,0.06,11,23.95,2.11,0.8,15,0.1
370,4,4.2,0.07,35,22.26,1.49,0.8,15,0.1
371,1,4.36,0.17,29,14.47,2.84,0.8,15,0.1
372,6,3.56,0.61,37,23.29,1.8,0.8,15,0.1
373,5,4.97,0.18,17,8.42,1.8,0.8,15,0.1
374,4,2.68,0.05,39,16.05,1.15,0.8,15,0.1
375,7,2.89,0.42,28,15.88,2.02,0.8,15,0.1
376,3,0.52,0.06,29,14.47,2.84,0.8,15,0.1
377,1,4.6,0.06,3,20.42,1.68,0.8,15,0.1
378,1,3.88,0.31,10,20.32,3.8,0.8,15,0.1
379,4,1.48,0.36,14,8.67,1.76,0.8,15,0.1
380,3,1.39,0.43,12,7.71,2.56,0.8,15,0.1
381,3,2.45,0.13,30,22.38,2.99,0.8,15,0.1
382,6,4.45,0.09,32,23.11,1.36,0.8,15,0.1
383,7,3.14,0.48,32,23.11,1.36,0.8,15,0.1
384,6,2.53,0.29,32,23.11,1.36,0.8,15,0.1
385,6,2.29,0.17,26,13.47,1.03,0.8,15,0.1
386,6,2.24,0.47,1,15.03,1.7,0.8,15,0.1
387,6,1.18,0.43,2,13.19,3.34,0.8,15,0.1
388,6,2.05,0.14,17,8.42,1.8,0.8,15,0.1
389,5,2.22,0.27,30,22.38,2.99,0.8,15,0.1
390,3,4.32,0.12,39,16.05,1.15,0.8,15,0.1
391,6,3.3,0.12,7,14.73,2.51,0.8,15,0.1
392,3,2.51,0.15,27,13.85,1.14,0.8,15,0.1
393,3,6.27,0.32,9,15.84,1.39,0.8,15,0.1
394,2,2.7,0.33,22,9.89,1.39,0.8,15,0.1
395,5,4.9,0.08,34,5.94,3.01,0.8,15,0.1
396,6,5.45,0.33,1,15.03,1.7,0.8,15,0.1
397,1,1.62,0.09,9,15.84,1.39,0.8,15,0.1
398,4,3.59,0.39,20,19.29,3.81,0.8,15,0.1
399,7,2.88,0.48,19,17.23,2.7,0.8,15,0.1
400,1,2.78,0.27,36,21.25,3.56,0.8,15,0.1
401,5,4.17,0.2,40,5.88,3.16,0.8,15,0.1
402,4,2.75,0.32,4,23.44,2.78,0.8,15,0.1
403,5,2.9,0.08,9,15.84,1.39,0.8,15,0.1
404,3,3.3,0.4,22,9.89,1.39,0.8,15,0.1
405,4,3.05,0.51,18,15.18,1.44,0.8,15,0.1
406,3,2.09,0.36,12,7.71,2.56,0.8,15,0.1
407,1,4.46,0.36,39,16.05,1.15,0.8,15,0.1
408,1,4.76,0.48,9,15.84,1.39,0.8,15,0.1
409,4,3.91,0.32,6,17.1,2.68,0.8,15,0.1
410,4,3.05,0.07,19,17.23,2.7,0.8,15,0.1
411,6,2.65,0.26,7,14.73,2.51,0.8,15,0.1
412,5,2.66,0.31,16,20.89,2.37,0.8,15,0.1
413,6,6.33,0.2,5,12.6,2.51,0.8,15,0.1
414,5,4.63,0.25,16,20.89,2.37,0.8,15,0.1
415,6,2.49,0.3,1,15.03,1.7,0.8,15,0.1
416,3,3.7,0.1,37,23.29,1.8,0.8,15,0.1
417,4,3.06,0.06,39,16.05,1.15,0.8,15,0.1
418,1,4.2,0.31,19,17.23,2.7,0.8,15,0.1
419,5,4.15,0.28,37,23.29,1.8,0.8,15,0.1
420,5,4.8,0.5,17,8.42,1.8,0.8,15,0.1
421,1,2.48,0.18,26,13.47,1.03,0.8,15,0.1
422,6,3.63,0.23,22,9.89,1.39,0.8,15,0.1
423,5,1.4,0.17,8,8.53,3.44,0.8,15,0.1
424,7,1.99,0.6,33,15.64,1.85,0.8,15,0.1
425,3,4.56,0.39,2,13.19,3.34,0.8,15,0.1
426,4,2.36,0.28,30,22.38,2.99,0.8,15,0.1
427,1,2.49,0.45,20,19.29,3.81,0.8,15,0.1
428,4,3.49,0.29,18,15.18,1.44,0.8,15,0.1
429,7,4.33,0.13,10,20.32,3.8,0.8,15,0.1
430,5,2.23,0.36,24,24.44,3.58,0.8,15,0.1
431,5,0.5,0.17,4,23.44,2.78,0.8,15,0.1
432,7,2.46,0.36,37,23.29,1.8,0.8,15,0.1
